{'loss': 2.958, 'learning_rate': 1e-05, 'epoch': 0.01, 'iter_time': 0.0, 'flops': 0.0, 'remaining_time': 0.0}
{'loss': 1.8232, 'learning_rate': 9.649974450689832e-06, 'epoch': 0.7, 'iter_time': 11.387229694937268, 'flops': 1527245414323.383, 'remaining_time': 43009.56655777806}
{'loss': 2.3723, 'learning_rate': 9.647419519672969e-06, 'epoch': 0.71, 'iter_time': 11.370441148246544, 'flops': 1529500404311.2183, 'remaining_time': 42934.785775778946}
{'loss': 1.4517, 'learning_rate': 9.644864588656107e-06, 'epoch': 0.72, 'iter_time': 11.35949270673793, 'flops': 1530974558672.3606, 'remaining_time': 42882.08496793568}
{'loss': 2.0235, 'learning_rate': 9.642309657639245e-06, 'epoch': 0.72, 'iter_time': 11.339924270766122, 'flops': 1533616443830.5427, 'remaining_time': 42796.874197871344}
{'loss': 2.1676, 'learning_rate': 9.639754726622382e-06, 'epoch': 0.73, 'iter_time': 11.32960460372005, 'flops': 1535013351457.0908, 'remaining_time': 42746.59816983575}
{'loss': 1.9147, 'learning_rate': 9.63719979560552e-06, 'epoch': 0.73, 'iter_time': 11.322148447305384, 'flops': 1536024228473.969, 'remaining_time': 42707.14394323591}
{'loss': 1.0421, 'learning_rate': 9.634644864588657e-06, 'epoch': 0.74, 'iter_time': 11.31719051374422, 'flops': 1536697143369.5752, 'remaining_time': 42677.125427329454}
{'loss': 1.4141, 'learning_rate': 9.632089933571795e-06, 'epoch': 0.74, 'iter_time': 11.312889153758684, 'flops': 1537281422726.735, 'remaining_time': 42649.59210967024}
{'loss': 1.0959, 'learning_rate': 9.629535002554932e-06, 'epoch': 0.75, 'iter_time': 11.316305329881866, 'flops': 1536817346870.0098, 'remaining_time': 42651.154788324755}
{'loss': 1.5514, 'learning_rate': 9.62698007153807e-06, 'epoch': 0.75, 'iter_time': 11.308886936266129, 'flops': 1537825466949.2737, 'remaining_time': 42611.885975850775}
{'loss': 1.3327, 'learning_rate': 9.624425140521206e-06, 'epoch': 0.76, 'iter_time': 11.306633503258634, 'flops': 1538131958414.3052, 'remaining_time': 42592.08840677528}
{'loss': 1.8096, 'learning_rate': 9.621870209504343e-06, 'epoch': 0.76, 'iter_time': 11.297285310319952, 'flops': 1539404720313.9517, 'remaining_time': 42545.57647866494}
{'loss': 1.582, 'learning_rate': 9.619315278487483e-06, 'epoch': 0.77, 'iter_time': 11.291974032485244, 'flops': 1540128792663.5803, 'remaining_time': 42514.28223230695}
{'loss': 1.4384, 'learning_rate': 9.61676034747062e-06, 'epoch': 0.77, 'iter_time': 11.280885151227315, 'flops': 1541642708023.485, 'remaining_time': 42461.251709219614}
